playerid,date_of_birth,place_of_birth,nation,height,weight,shoots,rights,under_contract,draft_year,draft_round,draft_pick,draft_team,shortname,status,nhl_draft,rankings,catches,draft_year_eligible,load_date,player,season_age,start_league,league,probability,gp,ppg,gpg,apg,perc_team_a,perc_team_g,perc_team_tp,start_node,node,epoints,nhl_xvalue,xvalue,cond_probability
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,22.0,NHL,NHL,1.0,82.0,0.6385857462882996,0.20754036754369734,0.43104537874460225,0.08567599404398327,0.07263727554265378,0.08059544863429942,7,14,52.364031195640564,20.8,23.8779982252121,0.114
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,23.0,KHL,KHL,0.6495726411363868,52.0,0.23689979314804077,0.07699243277311324,0.15990736037492753,0.04007349620521299,0.03300198711297847,0.03751937655790058,8,15,12.31878924369812,0.0,14.641971130432971,0.23771769840000004
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,23.0,KHL,AHL,0.267094022213604,76.0,0.5950506329536438,0.1933914557099342,0.4016591772437096,0.07791729787339177,0.06529817567255773,0.07301038288427107,8,16,45.22384810447693,0.0,22.07989173444655,0.09764711611200001
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,23.0,KHL,NHL,0.08333333665000923,82.0,0.2940562665462494,0.09556828662753104,0.19848797991871836,0.04575466447897364,0.040192698034727484,0.04392900846163504,8,17,24.11261385679245,0.0,3.6596583898531216,0.030354721488
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,23.0,AHL,NHL,0.5120418860258062,82.0,0.2800287902355194,0.09100935682654379,0.18901943340897562,0.044116234832728085,0.038853168404096944,0.04242024728315728,9,18,22.96236079931259,0.0,8.032341910720211,0.069960941568
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,23.0,AHL,AHL,0.48795811397419375,76.0,0.6479767560958862,0.210592445731163,0.43738431036472325,0.08409914607589147,0.07035226442045348,0.07870298775171022,9,19,49.24623346328735,0.0,16.419069106868523,0.066681522432
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,23.0,NHL,NHL,1.0,82.0,0.32628530263900757,0.10604272335767745,0.22024257928133012,0.04951906279514838,0.04327035419016063,0.04739548506793071,10,20,26.75539481639862,0.0,9.600638321968317,0.071766
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,23.0,AHL,NHL,0.5585774016838188,82.0,0.32296377420425415,0.10496322661638259,0.21800054758787157,0.04913110344039369,0.04295317056719271,0.04703822956134093,11,21,26.48302948474884,0.0,9.077239713537391,0.06855136961400002
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,23.0,AHL,AHL,0.4414225983161812,76.0,0.6921248435974121,0.2249405741691589,0.4671842694282532,0.08925570694152721,0.07456810981088396,0.08345144849053825,11,22,52.60148811340332,0.0,14.223646581159011,0.05408077638600001
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,23.0,NHL,NHL,1.0,82.0,0.31888991594314575,0.10363922268152236,0.2152506932616234,0.048655270867110585,0.04256414450642014,0.04660005529144181,12,23,26.14897310733795,0.0,15.59078314703774,0.11924585400000001
