,playerid,date_of_birth,place_of_birth,nation,height,weight,shoots,rights,under_contract,draft_year,draft_round,draft_pick,draft_team,shortname,status,nhl_draft,rankings,catches,draft_year_eligible,load_date,player_name,nhl_likelihood,most_likelihood_nhl_node,nhl_expected_value
177,375367,2000-01-13,"New Hampton, NH, USA",USA                                                                                             /  Canada,193.0,86.0,R,Edmonton Oilers,False,2018,6,164,Edmonton Oilers,michael-kesselring,,,,,2018,2020-06-03,Michael Kesselring,0.04,10,1.2
178,450506,2001-06-03,"Novosibirsk, RUS",Russia,178.0,72.0,L,Philadelphia Flyers,False,2019,6,165,Philadelphia Flyers,yegor-serdyuk,,,,,2019,2020-06-03,Yegor Serdyuk,0.32,22,42.6
179,212666,1998-03-09,"Karlstad, SWE",Sweden,176.0,85.0,R,Boston Bruins,True,2016,6,165,Boston Bruins,oskar-steen,,,,,2016,2020-06-03,Oskar Steen,0.06,3,2.9
180,246437,1999-11-20,"Stockholm, SWE",Sweden,191.0,93.0,L,Los Angeles Kings,True,2018,6,165,Los Angeles Kings,johan-sodergran,,,,,2018,2020-06-03,Johan Södergran,0.09,5,1.5
181,201536,1999-01-14,"Montréal, QC, CAN",Canada,183.0,83.0,L,New York Islanders,True,2017,6,165,New York Islanders,arnaud-durandeau,,,,,2017,2020-06-03,Arnaud Durandeau,0.12,5,2.5
182,244673,1998-06-11,"Örnsköldsvik, SWE",Sweden,180.0,77.0,L,Carolina Hurricanes,True,2018,6,166,Carolina Hurricanes,jesper-sellgren,,,,,2016,2020-06-03,Jesper Sellgren,0.06,4,2.3
183,381692,2001-04-20,"Laurel Hollow, NY, USA",USA,180.0,76.0,L,Minnesota Wild,False,2019,6,166,Minnesota Wild,marshall-warren,,,,,2019,2020-06-03,Marshall Warren,0.09,19,9.0
184,274219,2000-04-03,"Manglerud, NOR",Norway,179.0,85.0,L,Calgary Flames,True,2018,6,167,Calgary Flames,mathias-emilio-pettersen,,,,,2018,2020-06-03,Mathias Emilio Pettersen,0.2,14,12.4
185,286948,1999-01-01,"Ottawa, ON, CAN",Canada,178.0,82.0,R,,,2019,6,168,Florida Panthers,greg-meireles,,,,,2017,2020-06-03,Greg Meireles,0.22,5,14.5
186,265290,1999-08-24,"Oskarshamn, SWE",Sweden,181.0,80.0,L,Philadelphia Flyers,False,2017,6,168,Philadelphia Flyers,olle-lycksell,,,,,2017,2020-06-03,Olle Lycksell,0.14,10,5.3
187,382160,2000-06-27,"Montréal, QC, CAN",Canada,188.0,82.0,R,St. Louis Blues,True,2018,6,169,St. Louis Blues,mathias-laferriere,,,,,2018,2020-06-03,Mathias Laferrière,0.17,12,5.0
188,380612,1998-06-15,"Elk River, MN, USA",USA,188.0,87.0,R,Tampa Bay Lightning,False,2017,6,169,Tampa Bay Lightning,nicklaus-perbix,,,,,2016,2020-06-03,Nicklaus Perbix,0.05,4,2.4
189,224910,1999-04-30,"Kristianstad, SWE",Sweden                                                                                             /  USA,183.0,87.0,R,Toronto Maple Leafs,True,2017,1,17,Toronto Maple Leafs,timothy-liljegren,,,,,2017,2020-06-03,Timothy Liljegren,0.75,6,14.3
190,372023,1998-02-26,-,Russia,191.0,92.0,L,Montréal Canadiens,True,2019,6,170,Montréal Canadiens,arsen-khisamutdinov,,,,,2016,2020-06-03,Arsen Khisamutdinov,0.01,4,0.6
191,233489,1998-04-24,"Brighton, MI, USA",USA,175.0,88.0,L,New York Islanders,False,2016,6,170,New York Islanders,collin-adams,,,,,2016,2020-06-03,Collin Adams,0.09,4,6.0
192,307537,1999-04-07,"Gatineau, QC, CAN",Canada,191.0,82.0,R,,,2017,6,171,Calgary Flames,d-artagnan-joly,,,,,2017,2020-06-03,D'Artagnan Joly,0.33,5,7.1
193,339499,1999-10-17,"Raleigh, NC, USA",Russia                                                                                             /  USA,178.0,84.0,L,Colorado Avalanche,False,2018,6,171,Colorado Avalanche,nikolai-kovalenko,,,,,2018,2020-06-03,Nikolai Kovalenko,0.02,7,0.7
194,289231,1999-01-29,"Burlington, ON, CAN",Canada,183.0,76.0,L,Arizona Coyotes,True,2017,6,172,Toronto Maple Leafs,ryan-mcgregor,,,,,2017,2020-06-03,Ryan McGregor,0.12,5,1.2
195,254246,1998-03-05,"Windsor, ON, CAN",Canada,180.0,82.0,L,,,2016,6,172,Philadelphia Flyers,anthony-salinitri,,,,,2016,2020-06-03,Anthony Salinitri,0.08,6,2.1
196,360952,2000-01-27,"Waterloo, ON, CAN",Canada,183.0,80.0,L,,,2018,6,172,New Jersey Devils,mitchell-hoelscher,,,,,2018,2020-06-03,Mitchell Hoelscher,0.17,14,1.1
197,327230,2000-10-04,"Edina, MN, USA",USA,183.0,98.0,L,Dallas Stars,False,2019,6,173,Dallas Stars,ben-brinkman,,,,,2019,2020-06-03,Ben Brinkman,0.04,10,1.5
198,319958,1999-01-24,"Lévis, QC, CAN",Canada,191.0,93.0,L,,,2017,6,173,Boston Bruins,cedric-pare,,,,,2017,2020-06-03,Cédric Paré,0.14,5,0.0
199,354061,2000-04-03,"Grand Rapids, MN, USA",USA,183.0,89.0,L,Philadelphia Flyers,False,2018,6,174,Philadelphia Flyers,gavin-hain,,,,,2018,2020-06-03,Gavin Hain,0.1,11,5.8
200,398544,2000-12-23,"Sarov, RUS",Russia,178.0,74.0,L,Arizona Coyotes,False,2019,6,174,Arizona Coyotes,danil-savunov,,,,,2019,2020-06-03,Danil Savunov,0.03,31,1.4
201,272426,2000-07-28,"Prerov, CZE",Czech Rep.,181.0,83.0,L,Vancouver Canucks,False,2019,6,175,Vancouver Canucks,karel-plasek,,,,,2018,2020-06-03,Karel Plasek,0.07,17,4.3
202,239804,1998-06-11,"Burlington, ON, CAN",Canada,188.0,91.0,L,,,2017,6,175,St. Louis Blues,trent-bourque,,,,,2016,2020-06-03,Trent Bourque,0.2,5,4.8
203,234450,1997-09-15,"Bellevue, WA, USA",Canada                                                                                             /  USA,193.0,96.0,L,,,2015,6,176,St. Louis Blues,liam-dunda,,,,,2016,2020-06-03,Liam Dunda,0.1,6,1.5
204,438110,2000-10-07,"Richmond Hill, ON, CAN",Canada,180.0,83.0,R,Arizona Coyotes,False,2019,6,176,Arizona Coyotes,anthony-romano,,,,,2019,2020-06-03,Anthony Romano,0.04,10,1.2
205,212688,1998-03-17,"Mora, SWE",Sweden,187.0,77.0,R,,,2016,6,176,Dallas Stars,jakob-stenqvist,,,,,2016,2020-06-03,Jakob Stenqvist,0.04,4,2.1
206,273659,1999-02-17,"Moskva, RUS",Russia,184.0,80.0,L,,,2017,6,176,Nashville Predators,pavel-koltygin,,,,,2017,2020-06-03,Pavel Koltygin,0.05,8,1.2
207,345585,1999-07-27,"Raleigh, NC, USA",USA                                                                                             /  Canada,188.0,80.0,L,Edmonton Oilers,False,2017,6,177,Edmonton Oilers,skyler-brind-amour,,,,,2017,2020-06-03,Skyler Brind'Amour,0.03,6,1.0
208,324561,1998-04-13,"Ryazan, RUS",Russia,205.0,107.0,L,Tampa Bay Lightning,True,2016,6,178,Tampa Bay Lightning,oleg-sosunov,,,,,2016,2020-06-03,Oleg Sosunov,0.08,5,0.1
209,284916,1999-03-31,"Mercier, QC, CAN",Canada,183.0,85.0,L,New York Islanders,False,2019,6,178,New York Islanders,felix-bibeau,,,,,2017,2020-06-03,Félix Bibeau,0.14,6,6.2
210,251744,1998-03-05,"Ottawa, ON, CAN",Canada,197.0,98.0,R,,,2016,6,179,Toronto Maple Leafs,nicolas-mattinen,,,,,2016,2020-06-03,Nicolas Mattinen,0.19,5,6.9
211,275589,1999-09-14,"Laval, QC, CAN",Canada,195.0,101.0,R,,,2018,6,179,Minnesota Wild,shawn-boudrias,,,,,2017,2020-06-03,Shawn Boudrias,0.12,5,1.9
212,397650,2000-02-04,"Toronto, ON, CAN",Canada,185.0,82.0,L,Columbus Blue Jackets,True,2018,1,18,Columbus Blue Jackets,liam-foudy,,,,,2018,2020-06-03,Liam Foudy,0.83,7,51.8
213,465160,2001-08-19,"Syracuse, NY, USA",Canada                                                                                             /  USA,190.0,87.0,L,Dallas Stars,True,2019,1,18,Dallas Stars,thomas-harley,,,,,2019,2020-06-03,Thomas Harley,0.85,27,107.9
214,180538,1999-01-01,"Joensuu, FIN",Finland,185.0,84.0,L,Boston Bruins,True,2017,1,18,Boston Bruins,urho-vaakanainen,,,,,2017,2020-06-03,Urho Vaakanainen,0.29,6,8.1
